case,arm,target_vox
00577,FP,71
00052,FP,21
00108,FP,380
00210,TX,36
00454,TP,154
00540,TP,321
00506,TP,913
00125,TP,388
00573,FP,901
00083,TP,274
00470,TP,47
00210,TX,119
00407,FP,91
00573,FP,48
00526,TP,87
00208,FP,42
00294,FP,282
00455,TP,129
00193,TP,819
00559,FP,314
00264,FP,277
00145,TP,5
00470,TP,92
00246,TP,26
00522,TP,274
00407,FP,31
00568,TP,2908
00407,FP,129
00458,FP,906
00574,FP,88
00559,FP,154
00515,TX,106
00157,FP,300
00270,TP,94
00227,TP,38
00270,TP,18
00522,TX,1485
00264,FP,21
00470,TP,904
00054,TP,290
00570,FP,5
00208,FP,2931
00157,FP,816
00052,FP,60
00185,TP,23
00438,FP,5
00264,FP,136
00223,FP,11
00145,TP,5
00185,TP,67
00260,TP,59
00227,TP,11
00223,FP,49
00521,TP,135
00033,FP,95
00082,TP,53
